onset	duration	response_time	trial_type
8.10623168945e-06	4.23668003081831	1.80762410164	nervousness
8.43812203407	4.19847893713	1.93539404869	judgment
15.4384310246	4.1981630325	1.18225502968	cognition
22.438090086	4.1983010769	2.09121084213	awe
28.0375850201	4.1987929344	1.35203480721	affection
32.2370560169	4.1991810799	1.94326806068	embarrassment
37.8379039764	4.1981730462	1.67894601822	laziness
43.4373569489	4.1986861228	1.72880601883	skepticism
47.6367690563	4.199229002	2.38270187378	disgust
56.0364770889	4.1993398667	1.92058300972	anticipation
63.0374600887	4.1984069348	1.58041787148	exhaustion
68.6375479698	4.1982021332	1.16336297989	insanity
72.8366630077	4.1988871098	1.94728803635	opinion
77.0362119675	4.1993641853	1.24999189377	awe
81.2363460064	4.1991150379	1.72723603249	subordination
88.2364270687	4.19893097880001	1.32102489471	transcendence
92.4360070229	4.1993849277	2.91091990471	distrust
99.4368109703	4.19843101469999	2.27377891541	playfulness
105.037194967	4.19801211399999	2.68562507629	reason
110.636433125	4.19859385400001	1.34763503075	disgust
116.236703157	4.198361874	2.14646792412	pensiveness
121.836749077	4.19810390500001	1.28930401802	exhaustion
126.035480022	4.21612501199999	2.68537378311	consciousness
130.252457142	4.18228793099999	1.71278500557	skepticism
135.835730076	4.19892096499999	2.38403511047	embarrassment
140.035279989	4.21603608199999	2.01590013504	opinion
144.252048016	4.19922494799999	1.7395260334	pensiveness
148.451425076	4.19991993900001	1.94442605972	transcendence
154.052930117	4.18145298900001	1.71512794495	insanity
159.63608408	4.19837188700001	2.13671088219	belief
163.835415125	4.21553492500001	1.08369398117	contemplation
169.452651978	4.19837403299999	2.03179788589	peacefulness
177.852468014	4.18156313899999	1.69671201706	weariness
186.235496998	4.21515798600001	1.27127099037	laziness
193.252484083	4.19818305999999	1.53953909874	anticipation
197.451320171	4.199189902	1.80553889275	alarm
203.052090168	4.198419809	1.73338007927	curiosity
210.052035093	4.18154192	2.06704497337	judgment
215.634663105	4.21562290200001	1.99563503265	exaltation
219.850888014	4.19920516000002	2.02900600433	attention
224.051077127	4.198992968	1.94507694244	exaltation
228.250795126	4.19934892699999	1.72302699089	fatigue
233.851756096	4.19813203800001	1.76072907448	subordination
239.451564074	4.198389053	1.33266711235	distrust
246.451501131	4.19825387	1.91250395775	playfulness
252.051540136	4.19823598899998	2.09132289886	cognition
257.651487112	4.19809794400004	1.39625191689	reason
263.251234055	4.198354005	2.45612120628	self-pity
271.650930166	4.19843578399997	1.2190990448	weariness
277.251043081	4.198301077	1.2209880352	contemplation
282.851336956	4.197885036	1.74486613274	peacefulness
287.049947023	4.19918704099996	2.36383080482	self-pity
291.24982214	4.19925784999998	2.17374610901	alarm
299.650516987	4.19844007500001	1.79249310493	affection
303.849709034	4.19916200599999	2.2634871006	consciousness
310.850757122	4.19806885700001	1.66225600243	curiosity
317.850320101	4.19844603499996	1.74119591713	nervousness
322.049438953	4.19918513300001	2.36417913437	fatigue
326.249304056	4.19927597099996	1.53718996048	belief
330.449233055	4.19933199900004	1.75898098946	attention
