onset	duration	response_time	trial_type
2.09808349609e-05	4.24775099754504	2.30745911598	disgust
7.04933190346	4.19844102864	2.29030203819	affection
11.2487618923	4.1988699436	2.54746007919	transcendence
16.849216938	4.1983969212	2.25318312645	embarrassment
23.8491950035	4.1982738972	1.76909804344	awe
29.4484438896	4.1990470886	n/a	pensiveness
35.048252821	4.1990830898	1.9988090992	judgment
39.2483990192	4.1988418103	n/a	pensiveness
43.4479048252	4.1992971897	n/a	distrust
49.048115015	4.1989898682	2.77557301521	self-pity
53.2477309704	4.1993160248	n/a	anticipation
57.4476690292	4.1993348599	2.24558997154	playfulness
61.6476578712	4.1993441582	n/a	subordination
67.2486469746	4.19820690149999	n/a	awe
71.4477648735	4.1991961002	1.89233994484	consciousness
78.4484729767	4.1982860565	1.34104204178	reason
84.0475838184	4.19910717010001	n/a	alarm
92.4473528862	4.1992199421	2.02074098587	transcendence
96.6473150253	4.19925999669999	2.55384588242	distrust
105.047986984	4.19832301199999	2.27345395088	belief
110.647977829	4.198227167	n/a	attention
114.846827984	4.199383974	0.969491004944	playfulness
120.446949005	4.19922185	1.64823198318	nervousness
127.44766593	4.19846010200001	1.77718615532	skepticism
133.048012018	4.197906018	2.30193901062	opinion
140.047472	4.198478937	2.82889604568	attention
147.047492981	4.198232889	3.12966704369	contemplation
151.2464149	4.19936203900002	n/a	cognition
156.847481012	4.198168993	1.07471299171	affection
162.44767499	4.19796586000001	n/a	nervousness
166.646267891	4.19918704	2.03848600388	exaltation
173.647069931	4.19835209799999	n/a	disgust
179.247112989	4.19817996100002	1.49824595451	curiosity
183.445919991	4.19942498199998	n/a	weariness
189.047241926	4.197899103	n/a	curiosity
193.245813847	4.199284076	1.09009003639	subordination
200.246623039	4.19837784799998	n/a	peacefulness
205.84671092	4.19831991200002	1.86474394798	insanity
210.04567194	4.199174881	n/a	self-pity
218.4465909	4.198267937	2.82943415642	reason
226.84621501	4.198380947	2.90129590034	embarrassment
232.446303844	4.19826006900001	n/a	peacefulness
236.645190954	4.19925594400002	n/a	skepticism
242.246145964	4.19826889000001	n/a	laziness
246.445035934	4.19936299399998	1.71109199524	belief
254.846199036	4.19800686800002	n/a	weariness
261.845121861	4.199079036	n/a	exaltation
268.845764875	4.19824409500001	n/a	alarm
273.044669867	4.19939517900002	n/a	opinion
278.646054029	4.19780492799998	n/a	fatigue
282.844491959	4.19941997500001	n/a	consciousness
288.445642948	4.19814300600001	n/a	insanity
294.045449018	4.19831991199999	n/a	judgment
302.445240021	4.19834685299998	1.38195490837	contemplation
306.644292831	4.19930505800005	2.31986498833	cognition
310.844560862	4.19886112200004	2.02282810211	anticipation
316.445108891	4.19842910699998	1.68260192871	laziness
322.045096874	4.19824004199995	2.23241496086	exhaustion
327.644958973	4.19831395100005	2.25131201744	fatigue
331.843916893	4.19921302799997	n/a	exhaustion
