onset	duration	response_time	trial_type
5.96046447754e-06	4.24424195289552	1.37105584145	curiosity
4.24519586563	4.19900608063	1.59118080139	playfulness
11.2457318306	4.1983759403	2.00688314438	exhaustion
15.444827795	4.1991910935	2.96989297867	anticipation
21.0456848145	4.1982271671	2.72956609726	transcendence
29.4453179836	4.1986048222	2.20954799652	consciousness
33.644813776	4.1989731789	2.1695420742	weariness
39.2454018593	4.1983690262	2.44032979012	distrust
44.8454267979	4.19814014430001	2.31129598618	distrust
51.8450629711	4.1985099316	2.07112789154	insanity
58.8451359272	4.1982460022	2.6229031086	anticipation
64.445360899	4.19798803330001	n/a	subordination
71.4448158741	4.1985750198	1.62077999115	exaltation
77.0451159477	4.19807505610001	1.79855203629	cognition
82.6448807716	4.19832420349999	2.21454381943	nervousness
86.8438508511	4.19913792609999	2.8755209446	embarrassment
92.4446699619	4.1984419823	1.63839411736	peacefulness
99.4449219704	4.1979868416	1.56129384041	transcendence
105.04458189	4.198270083	2.70301699638	pensiveness
109.243497849	4.19921898800001	2.65617203712	curiosity
113.443457842	4.199216127	n/a	reason
121.84410882	4.198457956	1.95476102829	subordination
127.444498777	4.19812822399999	1.93972587585	attention
133.044281006	4.198153972	1.67548894882	reason
137.243160963	4.19926786399998	2.22366094589	consciousness
142.844115973	4.19810581200002	2.98228502274	laziness
147.042865992	4.19938993400001	2.53935599327	belief
151.24285078	4.19928908400001	2.83137106895	peacefulness
156.844057798	4.19797110600001	2.53410792351	laziness
162.443681002	4.198346853	2.25499892235	embarrassment
166.642710924	4.19924688399999	2.25709080696	cognition
175.043403864	4.198393106	2.46175789833	affection
179.242445946	4.19930887199999	2.67675185204	fatigue
184.84360981	4.19803404799998	2.27358913422	self-pity
189.042246819	4.19935703199999	2.53348302841	exhaustion
193.242236853	4.199417114	2.65349197388	skepticism
197.442265987	4.19925189099999	2.8933069706	alarm
203.043186903	4.19831395100002	2.31722617149	pensiveness
211.442909956	4.19841694800002	2.81810498238	contemplation
217.04326582	4.19799709300003	1.25585985184	self-pity
221.24196291	4.19920802099998	n/a	attention
226.842845917	4.19824194899999	2.73467302322	judgment
231.041774988	4.19930195800001	1.81974005699	contemplation
235.241779804	4.199290037	2.61967682838	opinion
239.441735983	4.19920587499999	2.20257306099	fatigue
246.442717791	4.198219061	2.69549894333	playfulness
253.442454815	4.19829106300003	2.12934613228	skepticism
260.442268848	4.19837594099999	2.48423600197	judgment
267.442163944	4.19844698899999	2.29309487343	insanity
274.442329884	4.19812297800001	2.9528491497	affection
282.841913939	4.19837188700001	2.85375905037	disgust
291.241723776	4.19861221299999	1.9206700325	exaltation
295.440973997	4.19918584800001	2.59258389473	awe
299.640801907	4.19929909699999	2.29049897194	disgust
305.241988897	4.19806504299999	1.79045605659	opinion
310.841729879	4.19820499499997	1.54726696014	awe
315.040640831	4.19921016699999	2.5620341301	belief
320.641547918	4.19827699699999	2.28906583786	weariness
324.84043479	4.19926214200001	2.69488215446	nervousness
330.441365957	4.19830393799998	2.99799799919	alarm
